JIT compiled.

============================================================================
PAIR: EUR_USD  OOS=409d
 reg_N   mode  ZW/atr tgt_f   ta  wick |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
    50    atr 2.0×ATR   0.5   10  0.15 | 10067634122322774016.0 -535792214310382464.0   9229  63.0% 64.6%  4.1%    2/3    2/3   0.245 | 2/2 p=0.24
    50    atr 3.0×ATR   0.5   10  0.15 | 700259293057203584.0 36145546458501336.0   2124  77.9% 67.4%  2.9%    3/3    3/3   0.015 | 🟢 PASS
    50    atr 4.0×ATR   0.5   10  0.15 | -30663939527583688.0 -559097429601893376.0   3020  87.4% 68.1%  2.8%    3/3    2/3   0.555 | 3/2 p=0.56
    50    atr 5.0×ATR   0.5   10  0.15 | 406504977887647424.0 -78302241974457920.0   2081  92.8% 69.9%  2.3%    3/3    2/3   0.260 | 3/2 p=0.26
    50    atr 2.0×ATR   0.5   10  0.25 | 10222160106906902528.0 -358838038218827008.0   8491  71.8% 64.7%  4.2%    2/3    3/3   0.185 | 2/3 p=0.18
    50    atr 3.0×ATR   0.5   10  0.25 | 707152341547344768.0 37381170150869664.0   2042  82.3% 68.5%  3.1%    1/3    3/3   0.000 | 1/3 p=0.00
    50    atr 4.0×ATR   0.5   10  0.25 | -20569905838266292.0 -574446541366150656.0   2874  89.4% 68.4%  2.6%    3/3    2/3   0.525 | 3/2 p=0.53
    50    atr 5.0×ATR   0.5   10  0.25 | 454197506218435456.0 5368710239347904.0   2014  93.9% 70.1%  2.1%    3/3    3/3   0.045 | 🟢 PASS
    50    atr 2.0×ATR   0.7    6  0.00 | -37310512564075552.0 -730217801882710144.0   8333  40.3% 62.5%  5.3%    3/3    1/3   0.505 | 3/1 p=0.51
    50    atr 3.0×ATR   0.7    6  0.00 | -119951000959092160.0 -515034221492392448.0   4866  69.8% 69.2%  3.8%    2/3    2/3   0.495 | 2/2 p=0.49
    50    atr 4.0×ATR   0.7    6  0.00 | 377949738242448064.0 12501908534877548.0   3304  85.3% 74.1%  2.3%    2/3    3/3   0.000 | 2/3 p=0.00
    50    atr 5.0×ATR   0.7    6  0.00 | 90955951639947984.0 -234767125358690976.0   2423  92.1% 77.1%  2.3%    3/3    2/3   0.290 | 3/2 p=0.29
    50    atr 2.0×ATR   0.7    6  0.15 | -511001999328002560.0 -1295057133727581440.0   7549  61.8% 62.3%  5.2%    2/3    1/3   0.900 | 2/1 p=0.90
    50    atr 3.0×ATR   0.7    6  0.15 | -93635351395263408.0 -302930028026493376.0   4536  78.4% 68.9%  3.8%    2/3    1/3   0.785 | 2/1 p=0.79
    50    atr 4.0×ATR   0.7    6  0.15 | 382816459140669184.0 10723759530411192.0   3038  88.2% 73.7%  2.8%    3/3    3/3   0.000 | 🟢 PASS
    50    atr 5.0×ATR   0.7    6  0.15 | 1213521941660527.0 313033923851847.6   2393  93.4% 76.8%  1.7%    2/3    3/3   0.000 | 2/3 p=0.00
    50    atr 2.0×ATR   0.7    6  0.25 | 77975011127973904.0 -883523184710749056.0   7005  71.9% 62.6%  4.9%    1/3    2/3   0.450 | 1/2 p=0.45
    50    atr 3.0×ATR   0.7    6  0.25 | -172880954545788384.0 -653834385580616576.0   4334  82.7% 68.9%  4.0%    3/3    1/3   0.585 | 3/1 p=0.58
    50    atr 4.0×ATR   0.7    6  0.25 | 392826308880109120.0 11970976234425722.0   2893  89.9% 73.1%  2.7%    3/3    3/3   0.000 | 🟢 PASS
    50    atr 5.0×ATR   0.7    6  0.25 | -119315493715841840.0 -360109920408051072.0   2194  94.3% 75.8%  1.9%    1/3    2/3   0.470 | 1/2 p=0.47
    50    atr 2.0×ATR   0.7    8  0.00 | 193462474713400384.0 -485919379855198272.0   7637  41.5% 60.2%  5.4%    3/3    2/3   0.275 | 3/2 p=0.28
    50    atr 3.0×ATR   0.7    8  0.00 | -335316171548119168.0 -752885036680070656.0   4095  68.4% 64.5%  4.2%    2/3    0/3   0.855 | 2/0 p=0.85
    50    atr 4.0×ATR   0.7    8  0.00 | 19343237084634704.0 6465030011767924.0   2797  84.3% 68.8%  2.9%    3/3    3/3   0.000 | 🟢 PASS
    50    atr 5.0×ATR   0.7    8  0.00 | 223417941575849408.0 2020945582828978.2   2017  91.7% 72.6%  2.5%    3/3    3/3   0.000 | 🟢 PASS
    50    atr 2.0×ATR   0.7    8  0.15 | -358987556176576768.0 -920822594728284416.0   6984  60.7% 59.9%  5.6%    2/3    0/3   0.815 | 2/0 p=0.81
    50    atr 3.0×ATR   0.7    8  0.15 | -111660888753868720.0 -308920623054902400.0   3850  77.5% 64.3%  4.3%    2/3    1/3   0.795 | 2/1 p=0.80
    50    atr 4.0×ATR   0.7    8  0.15 | -337138638313111552.0 -1049485551034763776.0   2687  87.4% 69.0%  3.3%    3/3    2/3   0.535 | 3/2 p=0.54
    50    atr 5.0×ATR   0.7    8  0.15 | 1424674185275480.5 261097962262147.9   1981  93.2% 72.1%  2.4%    3/3    3/3   0.000 | 🟢 PASS
    50    atr 2.0×ATR   0.7    8  0.25 | 37600223485505112.0 -571340917097788224.0   6537  71.0% 59.8%  5.4%    1/3    2/3   0.505 | 1/2 p=0.51
    50    atr 3.0×ATR   0.7    8  0.25 | 39146246150725904.0 -62040605904772960.0   3735  81.8% 64.5%  4.5%    3/3    1/3   0.310 | 3/1 p=0.31
    50    atr 4.0×ATR   0.7    8  0.25 | 22997179853668456.0 6024644484079617.0   2557  89.3% 68.7%  3.1%    3/3    3/3   0.000 | 🟢 PASS
    50    atr 5.0×ATR   0.7    8  0.25 | -118884055652166752.0 -359064966595645696.0   1860  94.1% 71.6%  2.5%    3/3    2/3   0.485 | 3/2 p=0.48
    50    atr 2.0×ATR   0.7   10  0.00 | -3264276633413329.0 -564441052812725184.0   7300  41.3% 59.1%  5.5%    3/3    2/3   0.480 | 3/2 p=0.48
    50    atr 3.0×ATR   0.7   10  0.00 | -232691864587254240.0 -631857040675754624.0   3732  66.7% 62.2%  4.4%    3/3    1/3   0.735 | 3/1 p=0.73
    50    atr 4.0×ATR   0.7   10  0.00 | 25546966772428512.0 -717099521171124.9   2485  83.4% 66.4%  3.1%    2/3    2/3   0.085 | 2/2 p=0.09
    50    atr 5.0×ATR   0.7   10  0.00 | 166213150279669248.0 1621979637775454.8   1707  91.7% 69.1%  3.3%    3/3    3/3   0.000 | 🟢 PASS
    50    atr 2.0×ATR   0.7   10  0.15 | -28915043601568864.0 -241822091162631776.0   1909  60.4% 59.0%  5.4%    2/3    0/3   0.575 | 2/0 p=0.57
    50    atr 3.0×ATR   0.7   10  0.15 | 23625527533955588.0 -121421621612011744.0   3489  76.3% 61.2%  4.5%    3/3    2/3   0.450 | 3/2 p=0.45
    50    atr 4.0×ATR   0.7   10  0.15 | 95723428358811888.0 8761784623716369.0   2343  86.3% 65.3%  3.8%    3/3    3/3   0.000 | 🟢 PASS
    50    atr 5.0×ATR   0.7   10  0.15 | 1629345256095495.5 342028845958479.9   1669  92.9% 67.5%  3.5%    2/3    3/3   0.000 | 2/3 p=0.00
    50    atr 2.0×ATR   0.7   10  0.25 | 196044503296803712.0 -138844084270340624.0   1840  70.7% 59.6%  5.2%    1/3    2/3   0.225 | 1/2 p=0.23
    50    atr 3.0×ATR   0.7   10  0.25 | 96564696019346864.0 36673137562496736.0   3388  80.9% 61.5%  4.9%    3/3    3/3   0.000 | 🟢 PASS
    50    atr 4.0×ATR   0.7   10  0.25 | -348920910259547136.0 -1059183674384721024.0   2246  88.5% 65.4%  3.5%    3/3    2/3   0.495 | 3/2 p=0.49
    50    atr 5.0×ATR   0.7   10  0.25 | -118679384542927472.0 -359331334311247552.0   1660  93.7% 69.4%  3.2%    2/3    2/3   0.465 | 2/2 p=0.47
    50    atr 2.0×ATR   1.0    6  0.00 | 123827981419099408.0 -1221898254186755840.0   6103  38.5% 62.1%  7.4%    2/3    1/3   0.455 | 2/1 p=0.46
    50    atr 3.0×ATR   1.0    6  0.00 | 105259802353859712.0 -24078286579668764.0   3698  69.7% 69.3%  5.5%    2/3    3/3   0.135 | 2/3 p=0.14
    50    atr 4.0×ATR   1.0    6  0.00 | 60362705005430736.0 -1886866591405110.0   2545  84.9% 74.4%  4.1%    2/3    3/3   0.195 | 2/3 p=0.20
    50    atr 5.0×ATR   1.0    6  0.00 | -1431311057250610.0 -4293933177327543.5   2052  91.8% 77.5%  3.8%    2/3    1/3   0.495 | 2/1 p=0.49
    50    atr 2.0×ATR   1.0    6  0.15 | -770324028725382656.0 -1541708479920665344.0   5617  61.2% 61.3%  7.7%    1/3    0/3   0.960 | 1/0 p=0.96
    50    atr 3.0×ATR   1.0    6  0.15 | 3913960800497252.5 -1262625450852398.8   3434  78.4% 68.9%  5.5%    2/3    3/3   0.210 | 2/3 p=0.21
    50    atr 4.0×ATR   1.0    6  0.15 | 160345742485758.3 211418354.9   2536  88.1% 73.9%  4.2%    3/3    3/3   0.005 | 🟢 PASS
    50    atr 5.0×ATR   1.0    6  0.15 | -1561894230889385.2 -4685682692668099.0   1833  93.0% 77.9%  3.5%    2/3    1/3   0.740 | 2/1 p=0.74
    50    atr 2.0×ATR   1.0    6  0.25 | -456577440661068672.0 -1090116435016603136.0   5259  71.1% 60.9%  7.6%    1/3    1/3   0.880 | 1/1 p=0.88
    50    atr 3.0×ATR   1.0    6  0.25 | 30318835738285692.0 1435293295588176.0   3423  82.9% 69.5%  5.3%    2/3    3/3   0.090 | 2/3 p=0.09
    50    atr 4.0×ATR   1.0    6  0.25 | -163537147295215872.0 -490738321875470784.0   2450  89.9% 73.5%  4.0%    1/3    2/3   0.480 | 1/2 p=0.48
    50    atr 5.0×ATR   1.0    6  0.25 | -1561894230889174.5 -4685682692668157.0   1743  94.0% 76.6%  3.7%    2/3    2/3   0.505 | 2/2 p=0.51
    50    atr 2.0×ATR   1.0    8  0.00 | -96125071305483712.0 -699219662750166400.0   5216  35.8% 57.0%  9.1%    1/3    2/3   0.565 | 1/2 p=0.56
    50    atr 3.0×ATR   1.0    8  0.00 | -3674247349983278.5 -94036091404981488.0   3032  68.1% 63.8%  6.4%    2/3    1/3   0.560 | 2/1 p=0.56
    50    atr 4.0×ATR   1.0    8  0.00 | 81126522651053312.0 1172953680152086.5   2004  83.9% 68.4%  5.8%    2/3    3/3   0.000 | 2/3 p=0.00
    50    atr 5.0×ATR   1.0    8  0.00 | -1126776794139403.2 -3380330382419198.0   1646  91.3% 73.0%  4.6%    2/3    1/3   0.575 | 2/1 p=0.57
    50    atr 2.0×ATR   1.0    8  0.15 | -442270092448628416.0 -1167355953906878976.0   4547  59.3% 56.7%  8.9%    1/3    1/3   0.800 | 1/1 p=0.80
    50    atr 3.0×ATR   1.0    8  0.15 | -41676978230575560.0 -130905454049462928.0   2830  77.4% 63.0%  6.4%    2/3    2/3   0.620 | 2/2 p=0.62
    50    atr 4.0×ATR   1.0    8  0.15 | -119218611909859936.0 -359389212265806016.0   2083  87.0% 68.6%  4.9%    3/3    2/3   0.500 | 3/2 p=0.50
    50    atr 5.0×ATR   1.0    8  0.15 | -1126776794139649.0 -3380330382419730.5   1429  92.8% 72.5%  4.8%    2/3    1/3   0.520 | 2/1 p=0.52
    50    atr 2.0×ATR   1.0    8  0.25 | -144524925060328800.0 -662323354920143872.0   4645  69.4% 56.3%  8.1%    1/3    1/3   0.660 | 1/1 p=0.66
    50    atr 3.0×ATR   1.0    8  0.25 | 442184434044411.1 -2125884551809706.5   2761  82.0% 63.4%  6.2%    3/3    2/3   0.415 | 3/2 p=0.41
    50    atr 4.0×ATR   1.0    8  0.25 | -162262716876335072.0 -489162851041953024.0   1986  89.0% 68.1%  5.3%    2/3    2/3   0.480 | 2/2 p=0.48
    50    atr 5.0×ATR   1.0    8  0.25 |    488.2     71.8   1422  93.7% 71.4%  4.2%    2/3    3/3   0.035 | 2/3 p=0.04
    50    atr 2.0×ATR   1.0   10  0.00 | -48371208547409704.0 -837813199786295424.0   4473  34.4% 54.2%  9.9%    1/3    2/3   0.530 | 1/2 p=0.53
    50    atr 3.0×ATR   1.0   10  0.00 | -162319780598157312.0 -495131244731624768.0   2681  66.0% 60.1%  6.5%    2/3    2/3   0.475 | 2/2 p=0.47
    50    atr 4.0×ATR   1.0   10  0.00 | 55858364640123560.0 -12185892965009864.0   1716  82.5% 65.0%  5.8%    2/3    2/3   0.250 | 2/2 p=0.25
    50    atr 5.0×ATR   1.0   10  0.00 | 179936.4    410.8   1330  91.2% 68.3%  5.1%    2/3    3/3   0.035 | 2/3 p=0.04
    50    atr 2.0×ATR   1.0   10  0.15 | -754998427961913344.0 -1543557137171687936.0   4234  57.7% 53.8%  9.7%    2/3    0/3   0.980 | 2/0 p=0.98
    50    atr 3.0×ATR   1.0   10  0.15 | -163295181251414304.0 -493568895593899392.0   2494  75.3% 58.4%  7.1%    1/3    2/3   0.560 | 1/2 p=0.56
    50    atr 4.0×ATR   1.0   10  0.15 | -6415347875429856.0 -19663540535382460.0   1775  85.8% 65.1%  5.3%    3/3    2/3   0.545 | 3/2 p=0.55
    50    atr 5.0×ATR   1.0   10  0.15 |    936.3    206.5   1240  92.3% 67.9%  5.3%    2/3    3/3   0.025 | 2/3 p=0.03
    50    atr 2.0×ATR   1.0   10  0.25 | -262866005734918304.0 -768279680937369344.0   4360  68.3% 53.6%  8.7%    1/3    1/3   0.795 | 1/1 p=0.80
    50    atr 3.0×ATR   1.0   10  0.25 | 4437757790009456.5 1223713489585621.8   2446  80.4% 59.2%  7.1%    3/3    3/3   0.000 | 🟢 PASS
    50    atr 4.0×ATR   1.0   10  0.25 | 154382114750000.8 97591180.0   1748  88.2% 64.6%  5.8%    2/3    3/3   0.020 | 2/3 p=0.02
    50    atr 5.0×ATR   1.0   10  0.25 |    842.3    165.2   1205  93.5% 68.8%  4.8%    2/3    3/3   0.025 | 2/3 p=0.03
    80  fixed   30.0p   0.5    6  0.00 |   1644.6    472.9   2305  95.7% 83.9%  0.7%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.5    6  0.00 |    193.5     75.1    865  99.0% 90.4%  0.5%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   30.0p   0.5    6  0.15 |   2508.4    457.9   2088  96.5% 84.4%  1.0%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.5    6  0.15 |     73.9     35.8    806  99.1% 91.8%  0.2%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   30.0p   0.5    6  0.25 |   2384.3    405.2   1917  97.0% 84.8%  1.0%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.5    6  0.25 |     98.0     31.7    713  99.3% 91.7%  0.3%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   30.0p   0.5    8  0.00 |   1983.7    768.2   1911  96.0% 80.1%  1.2%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.5    8  0.00 |    154.7     44.1    729  99.1% 87.2%  0.4%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   30.0p   0.5    8  0.15 |   2579.7    623.5   1728  96.6% 79.6%  1.4%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.5    8  0.15 |     78.2     39.1    688  99.2% 88.5%  0.4%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   30.0p   0.5    8  0.25 |   2462.9    414.5   1608  97.1% 80.4%  1.5%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.5    8  0.25 |    100.5     34.7    608  99.3% 88.0%  0.3%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   30.0p   0.5   10  0.00 |   2244.1    927.6   1712  95.9% 76.8%  1.4%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.5   10  0.00 |    155.6     45.4    648  99.2% 85.3%  0.5%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   0.5   10  0.15 |   3068.6    723.8   1552  96.5% 75.8%  1.6%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.5   10  0.15 |     86.4     47.0    598  99.3% 86.0%  0.5%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   30.0p   0.5   10  0.25 |   2952.0    674.5   1466  96.8% 76.4%  1.8%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.5   10  0.25 |     55.6     38.9    546  99.4% 85.7%  0.4%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   30.0p   0.7    6  0.00 |   1237.2    649.0   1942  95.9% 83.4%  1.7%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.7    6  0.00 |    227.0     48.6    784  99.1% 90.4%  0.8%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   0.7    6  0.15 |    890.0    369.2   1783  96.5% 83.6%  1.8%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.7    6  0.15 |    206.4     32.4    759  99.2% 92.5%  0.7%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   0.7    6  0.25 |    867.7    412.8   1678  96.9% 83.9%  1.5%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.7    6  0.25 |    230.6     34.4    678  99.3% 92.5%  0.9%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   0.7    8  0.00 |   1168.9    555.5   1597  96.2% 79.5%  2.3%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.7    8  0.00 |    230.0     47.1    665  99.1% 87.4%  0.8%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   0.7    8  0.15 |  -1469.6  -6856.7   1471  96.7% 79.0%  2.6%    3/3    2/3   0.500 | 3/2 p=0.50
    80  fixed   50.0p   0.7    8  0.15 |    218.7     39.8    620  99.2% 88.7%  1.1%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   0.7    8  0.25 |  -1704.9  -6978.1   1399  97.1% 79.6%  2.3%    3/3    2/3   0.480 | 3/2 p=0.48
    80  fixed   50.0p   0.7    8  0.25 |    233.4     34.8    563  99.3% 88.5%  1.1%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   0.7   10  0.00 |   1226.0    652.5   1388  96.2% 75.1%  2.7%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   0.7   10  0.00 |     84.4     53.5    579  99.2% 85.1%  1.0%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   0.7   10  0.15 |  -1352.7  -6463.0   1295  96.6% 74.6%  3.1%    3/3    2/3   0.520 | 3/2 p=0.52
    80  fixed   50.0p   0.7   10  0.15 |    234.0     54.5    526  99.3% 85.6%  1.7%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   0.7   10  0.25 |  -1569.9  -6586.9   1247  97.0% 75.5%  3.0%    3/3    2/3   0.520 | 3/2 p=0.52
    80  fixed   50.0p   0.7   10  0.25 |    225.2     49.0    488  99.4% 85.2%  1.8%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   1.0    6  0.00 |    273.0     -0.6   1588  96.0% 83.0%  3.0%    3/3    3/3   0.055 | 3/3 p=0.06
    80  fixed   50.0p   1.0    6  0.00 |     87.5     48.1    692  99.1% 90.8%  1.6%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   1.0    6  0.15 |    362.3    248.7   1482  96.6% 83.3%  3.1%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   50.0p   1.0    6  0.15 |     48.0     11.2    695  99.2% 92.8%  1.0%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   1.0    6  0.25 |     68.0   -434.5   1414  96.9% 84.4%  2.8%    2/3    2/3   0.515 | 2/2 p=0.52
    80  fixed   50.0p   1.0    6  0.25 |     51.1     16.4    643  99.3% 92.8%  1.1%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   1.0    8  0.00 |    254.9   -127.4   1349  96.3% 79.9%  3.4%    2/3    2/3   0.125 | 2/2 p=0.12
    80  fixed   50.0p   1.0    8  0.00 |     90.2     52.4    555  99.2% 87.6%  2.2%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   1.0    8  0.15 |    392.0    270.5   1222  96.8% 79.2%  4.2%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   50.0p   1.0    8  0.15 |     61.4     24.4    546  99.3% 89.0%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   1.0    8  0.25 |    369.6    256.8   1174  97.2% 80.1%  3.7%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   50.0p   1.0    8  0.25 |     59.8     21.5    507  99.4% 89.0%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   1.0   10  0.00 |    410.3    209.6   1131  96.3% 75.5%  4.7%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   50.0p   1.0   10  0.00 |   -258.3   -914.2    470  99.3% 84.9%  2.6%    2/3    2/3   0.445 | 2/2 p=0.45
    80  fixed   30.0p   1.0   10  0.15 |    417.3    300.2   1048  96.7% 74.6%  5.6%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   1.0   10  0.15 |     89.9     38.2    467  99.3% 86.3%  2.6%    2/3    3/3   0.000 | 2/3 p=0.00
    80  fixed   30.0p   1.0   10  0.25 |    388.1    270.4   1035  96.9% 76.0%  4.9%    3/3    3/3   0.000 | 🟢 PASS
    80  fixed   50.0p   1.0   10  0.25 |     82.3     31.7    437  99.4% 85.8%  2.7%    2/3    3/3   0.000 | 2/3 p=0.00
    80    atr 2.0×ATR   0.5    6  0.00 | 9696375917141022720.0 -1191769377491779328.0  10785  41.7% 65.7%  3.9%    1/3    2/3   0.455 | 1/2 p=0.46
    80    atr 3.0×ATR   0.5    6  0.00 | 156211537347668000.0 -93550606213469824.0   2868  67.8% 72.5%  2.7%    1/3    1/3   0.155 | 1/1 p=0.15
    80    atr 4.0×ATR   0.5    6  0.00 | 315147066666556608.0 -35698511482331912.0   4047  82.3% 73.9%  2.2%    3/3    3/3   0.105 | 3/3 p=0.10
    80    atr 5.0×ATR   0.5    6  0.00 | 304603663721547136.0 -380313404479687680.0   3007  89.8% 76.9%  1.7%    3/3    3/3   0.390 | 3/3 p=0.39
    80    atr 2.0×ATR   0.5    6  0.15 | 9839314106147260416.0 -896301838086522368.0   9622  61.6% 65.8%  4.3%    2/3    1/3   0.475 | 2/1 p=0.47
    80    atr 3.0×ATR   0.5    6  0.15 | 184330649614142336.0 -115433419353406560.0   2607  77.0% 72.2%  2.6%    2/3    1/3   0.220 | 2/1 p=0.22
    80    atr 4.0×ATR   0.5    6  0.15 | 1436656596875026.2 -635279300662580608.0   3815  86.0% 73.2%  2.3%    3/3    2/3   0.420 | 3/2 p=0.42
    80    atr 5.0×ATR   0.5    6  0.15 | 223080740527215008.0 -447039351462163584.0   2917  91.3% 77.7%  2.0%    3/3    3/3   0.375 | 3/3 p=0.38
    80    atr 2.0×ATR   0.5    6  0.25 | 10119219667640416256.0 -553437062076943488.0   8919  70.4% 65.6%  4.3%    1/3    2/3   0.295 | 1/2 p=0.29
    80    atr 3.0×ATR   0.5    6  0.25 | 466585630222368192.0 77109401709413440.0   2455  81.2% 71.9%  2.9%    2/3    3/3   0.000 | 2/3 p=0.00
    80    atr 4.0×ATR   0.5    6  0.25 | 23227145166763536.0 -550866952839863936.0   3669  88.3% 73.0%  2.4%    3/3    1/3   0.490 | 3/1 p=0.49
    80    atr 5.0×ATR   0.5    6  0.25 | 90039175593089984.0 -562008653327648320.0   2713  92.4% 76.6%  2.1%    3/3    2/3   0.450 | 3/2 p=0.45
    80    atr 2.0×ATR   0.5    8  0.00 | 7940699598600119296.0 -689514851919154688.0  10231  43.1% 64.5%  4.0%    1/3    2/3   0.360 | 1/2 p=0.36
    80    atr 3.0×ATR   0.5    8  0.00 | -27298312767828896.0 -309719347857999616.0   2485  68.0% 68.8%  2.6%    1/3    1/3   0.480 | 1/1 p=0.48
    80    atr 4.0×ATR   0.5    8  0.00 | 45701377472844840.0 -170532841950821728.0   3548  82.5% 70.7%  2.4%    3/3    2/3   0.275 | 3/2 p=0.28
    80    atr 5.0×ATR   0.5    8  0.00 | 295551493833027456.0 -369864323965559616.0   2542  89.5% 73.6%  2.4%    3/3    3/3   0.355 | 3/3 p=0.35
    80    atr 2.0×ATR   0.5    8  0.15 | 9757015976989554688.0 -864501161820194304.0   9312  61.2% 64.7%  4.4%    2/3    1/3   0.445 | 2/1 p=0.45
    80    atr 3.0×ATR   0.5    8  0.15 | 167307818329590400.0 -130810578820723488.0   2329  76.7% 69.1%  2.7%    3/3    1/3   0.285 | 3/1 p=0.28
    80    atr 4.0×ATR   0.5    8  0.15 | -118955207713481696.0 -475304829460284864.0   3289  86.0% 69.9%  2.9%    3/3    0/3   0.680 | 3/0 p=0.68
    80    atr 5.0×ATR   0.5    8  0.15 | 218943929897794784.0 -443443085962596032.0   2389  91.2% 73.2%  2.3%    3/3    3/3   0.410 | 3/3 p=0.41
    80    atr 2.0×ATR   0.5    8  0.25 | 10045263109471666176.0 -671776731865214208.0   8714  70.0% 64.6%  4.4%    1/3    2/3   0.305 | 1/2 p=0.30
    80    atr 3.0×ATR   0.5    8  0.25 | 466193669198151424.0 67808413681053456.0   2173  80.7% 68.7%  3.3%    2/3    3/3   0.000 | 2/3 p=0.00
    80    atr 4.0×ATR   0.5    8  0.25 | 120271602502033616.0 -181070887930225120.0   3194  88.3% 70.0%  2.8%    3/3    3/3   0.300 | 3/3 p=0.30
    80    atr 5.0×ATR   0.5    8  0.25 | 227421877418291168.0 -420856639888048064.0   2276  92.2% 72.8%  2.6%    3/3    3/3   0.405 | 3/3 p=0.41
    80    atr 2.0×ATR   0.5   10  0.00 | 7718281510124248064.0 -820980506148529152.0  10039  43.7% 64.0%  4.1%    1/3    1/3   0.425 | 1/1 p=0.42
    80    atr 3.0×ATR   0.5   10  0.00 | 38297785187564160.0 -254368745626520096.0   2338  67.9% 67.7%  2.6%    2/3    1/3   0.425 | 2/1 p=0.42
    80    atr 4.0×ATR   0.5   10  0.00 | -318299377923590976.0 -760322862922577280.0   3232  81.8% 67.8%  2.7%    3/3    1/3   0.920 | 3/1 p=0.92
    80    atr 5.0×ATR   0.5   10  0.00 | 240393044220740896.0 -344967055092160768.0   2310  89.1% 71.3%  2.6%    3/3    3/3   0.435 | 3/3 p=0.43
    80    atr 2.0×ATR   0.5   10  0.15 | 9584469453747630080.0 -1000184723143984256.0   9219  60.8% 64.4%  4.5%    2/3    1/3   0.525 | 2/1 p=0.53
    80    atr 3.0×ATR   0.5   10  0.15 | 250917571135321280.0 -66020037682257736.0   2202  76.0% 67.5%  3.0%    3/3    1/3   0.195 | 3/1 p=0.20
    80    atr 4.0×ATR   0.5   10  0.15 | -338547775270422400.0 -932828697091033984.0   3052  85.7% 67.5%  2.7%    3/3    1/3   0.835 | 3/1 p=0.83
    80    atr 5.0×ATR   0.5   10  0.15 | 227174433041117920.0 -432368763355809408.0   2149  90.8% 71.2%  2.7%    3/3    3/3   0.475 | 3/3 p=0.47
    80    atr 2.0×ATR   0.5   10  0.25 | 9874613273134741504.0 -691256379892612992.0   8574  69.8% 64.2%  4.4%    1/3    2/3   0.350 | 1/2 p=0.35
    80    atr 3.0×ATR   0.5   10  0.25 | 514308188666950592.0 104448941124396096.0   2060  80.3% 67.0%  3.6%    2/3    2/3   0.000 | 2/2 p=0.00
    80    atr 4.0×ATR   0.5   10  0.25 | -375696848153721024.0 -990801867245828480.0   2961  87.9% 68.1%  3.0%    2/3    0/3   0.825 | 2/0 p=0.82
