timestamp,open,high,low,close,volume
2026-04-06T22:45:00Z,1.15434,1.15444,1.15432,1.15436,132
2026-04-06T22:50:00Z,1.15438,1.15444,1.15432,1.15434,115
2026-04-06T22:55:00Z,1.15434,1.15434,1.15423,1.15428,87
2026-04-06T23:00:00Z,1.15428,1.15436,1.15424,1.15434,133
2026-04-06T23:05:00Z,1.15433,1.15436,1.15424,1.1543,112
2026-04-06T23:10:00Z,1.15431,1.15434,1.15428,1.15432,71
2026-04-06T23:15:00Z,1.15432,1.15434,1.15426,1.15428,62
2026-04-06T23:20:00Z,1.15428,1.1543,1.15418,1.1542,75
2026-04-06T23:25:00Z,1.15421,1.15422,1.15406,1.15407,68
2026-04-06T23:30:00Z,1.15405,1.15411,1.15404,1.15405,68
2026-04-06T23:35:00Z,1.15404,1.15408,1.154,1.15406,63
2026-04-06T23:40:00Z,1.15408,1.1541,1.1539,1.15405,128
2026-04-06T23:45:00Z,1.15406,1.15421,1.15406,1.15414,176
2026-04-06T23:50:00Z,1.15413,1.15426,1.15409,1.15414,204
2026-04-06T23:55:00Z,1.15413,1.15415,1.15408,1.15409,68
2026-04-07T00:00:00Z,1.15408,1.1541,1.1538,1.1539,453
2026-04-07T00:05:00Z,1.15389,1.15406,1.15384,1.15405,439
2026-04-07T00:10:00Z,1.15404,1.1542,1.15395,1.15418,494
2026-04-07T00:15:00Z,1.1542,1.15439,1.15417,1.15417,672
2026-04-07T00:20:00Z,1.15416,1.15428,1.15403,1.15404,422
2026-04-07T00:25:00Z,1.15404,1.15415,1.154,1.15403,333
2026-04-07T00:30:00Z,1.15402,1.15409,1.1539,1.15398,365
2026-04-07T00:35:00Z,1.154,1.15404,1.15366,1.1537,299
2026-04-07T00:40:00Z,1.1537,1.15392,1.1537,1.1538,348
2026-04-07T00:45:00Z,1.1538,1.15392,1.1538,1.15392,315
2026-04-07T00:50:00Z,1.15392,1.154,1.15384,1.1539,375
2026-04-07T00:55:00Z,1.15391,1.15395,1.15374,1.15376,280
2026-04-07T01:00:00Z,1.15376,1.15403,1.15358,1.15402,792
2026-04-07T01:05:00Z,1.15401,1.15403,1.1536,1.15364,578
2026-04-07T01:10:00Z,1.15363,1.15371,1.15352,1.1536,527
2026-04-07T01:15:00Z,1.1536,1.15376,1.15358,1.15372,425
2026-04-07T01:20:00Z,1.1537,1.15373,1.15354,1.15358,351
2026-04-07T01:25:00Z,1.15359,1.15365,1.15348,1.15364,286
2026-04-07T01:30:00Z,1.15364,1.15369,1.15354,1.15358,294
2026-04-07T01:35:00Z,1.1536,1.15363,1.15305,1.15316,526
2026-04-07T01:40:00Z,1.15315,1.15318,1.153,1.15306,448
